part,topic,question,cue_card,source,band9_answer
2,Describe a friend you enjoy spending time with,Describe a friend you enjoy spending time with,"You should say:
- what it is
- when you experienced/used/saw it
- what happened or how you used it
- and explain why it is memorable or important to you.",question_bank,"A science programme I found genuinely interesting was a documentary episode about **the James Webb Space Telescope** and how it studies the early universe. I watched it a few months ago on a streaming platform after seeing short clips online, and it pulled me in because it connected big ideas to real engineering challenges.

The programme explained, in a very clear way, why Webb can see things older telescopes couldn’t—mainly because it observes in infrared, and it’s positioned far from Earth to avoid heat interference. What I learned wasn’t just the “wow” factor of space images, but the process behind them: how scientists interpret light spectra to figure out what distant planets are made of, and how even tiny measurement errors can change a conclusion.

I found it interesting because it balanced wonder with realism. It showed that scientific breakthroughs aren’t magic—they’re the result of patient experimentation, failure, and iteration. And honestly, it made me appreciate how science is a collaboration between imagination and discipline: you need bold questions, but you also need the engineering to make those questions testable."
2,Describe a family tradition you like,Describe a family tradition you like,"You should say:
- what it is
- when you experienced/used/saw it
- what happened or how you used it
- and explain why it is memorable or important to you.",question_bank,"A science programme I found genuinely interesting was a documentary episode about **the James Webb Space Telescope** and how it studies the early universe. I watched it a few months ago on a streaming platform after seeing short clips online, and it pulled me in because it connected big ideas to real engineering challenges.

The programme explained, in a very clear way, why Webb can see things older telescopes couldn’t—mainly because it observes in infrared, and it’s positioned far from Earth to avoid heat interference. What I learned wasn’t just the “wow” factor of space images, but the process behind them: how scientists interpret light spectra to figure out what distant planets are made of, and how even tiny measurement errors can change a conclusion.

I found it interesting because it balanced wonder with realism. It showed that scientific breakthroughs aren’t magic—they’re the result of patient experimentation, failure, and iteration. And honestly, it made me appreciate how science is a collaboration between imagination and discipline: you need bold questions, but you also need the engineering to make those questions testable."
2,Describe a good piece of customer service you received,Describe a good piece of customer service you received,"You should say:
- what it is
- when you experienced/used/saw it
- what happened or how you used it
- and explain why it is memorable or important to you.",question_bank,"A science programme I found genuinely interesting was a documentary episode about **the James Webb Space Telescope** and how it studies the early universe. I watched it a few months ago on a streaming platform after seeing short clips online, and it pulled me in because it connected big ideas to real engineering challenges.

The programme explained, in a very clear way, why Webb can see things older telescopes couldn’t—mainly because it observes in infrared, and it’s positioned far from Earth to avoid heat interference. What I learned wasn’t just the “wow” factor of space images, but the process behind them: how scientists interpret light spectra to figure out what distant planets are made of, and how even tiny measurement errors can change a conclusion.

I found it interesting because it balanced wonder with realism. It showed that scientific breakthroughs aren’t magic—they’re the result of patient experimentation, failure, and iteration. And honestly, it made me appreciate how science is a collaboration between imagination and discipline: you need bold questions, but you also need the engineering to make those questions testable."
2,Describe a time you used public transport,Describe a time you used public transport,"You should say:
- what it is
- when you experienced/used/saw it
- what happened or how you used it
- and explain why it is memorable or important to you.",question_bank,"A science programme I found genuinely interesting was a documentary episode about **the James Webb Space Telescope** and how it studies the early universe. I watched it a few months ago on a streaming platform after seeing short clips online, and it pulled me in because it connected big ideas to real engineering challenges.

The programme explained, in a very clear way, why Webb can see things older telescopes couldn’t—mainly because it observes in infrared, and it’s positioned far from Earth to avoid heat interference. What I learned wasn’t just the “wow” factor of space images, but the process behind them: how scientists interpret light spectra to figure out what distant planets are made of, and how even tiny measurement errors can change a conclusion.

I found it interesting because it balanced wonder with realism. It showed that scientific breakthroughs aren’t magic—they’re the result of patient experimentation, failure, and iteration. And honestly, it made me appreciate how science is a collaboration between imagination and discipline: you need bold questions, but you also need the engineering to make those questions testable."
2,Describe a place you go to study or work,Describe a place you go to study or work,"You should say:
- what it is
- when you experienced/used/saw it
- what happened or how you used it
- and explain why it is memorable or important to you.",question_bank,"A science programme I found genuinely interesting was a documentary episode about **the James Webb Space Telescope** and how it studies the early universe. I watched it a few months ago on a streaming platform after seeing short clips online, and it pulled me in because it connected big ideas to real engineering challenges.

The programme explained, in a very clear way, why Webb can see things older telescopes couldn’t—mainly because it observes in infrared, and it’s positioned far from Earth to avoid heat interference. What I learned wasn’t just the “wow” factor of space images, but the process behind them: how scientists interpret light spectra to figure out what distant planets are made of, and how even tiny measurement errors can change a conclusion.

I found it interesting because it balanced wonder with realism. It showed that scientific breakthroughs aren’t magic—they’re the result of patient experimentation, failure, and iteration. And honestly, it made me appreciate how science is a collaboration between imagination and discipline: you need bold questions, but you also need the engineering to make those questions testable."
2,Describe a time you felt proud of someone,Describe a time you felt proud of someone,"You should say:
- what it is
- when you experienced/used/saw it
- what happened or how you used it
- and explain why it is memorable or important to you.",question_bank,"A science programme I found genuinely interesting was a documentary episode about **the James Webb Space Telescope** and how it studies the early universe. I watched it a few months ago on a streaming platform after seeing short clips online, and it pulled me in because it connected big ideas to real engineering challenges.

The programme explained, in a very clear way, why Webb can see things older telescopes couldn’t—mainly because it observes in infrared, and it’s positioned far from Earth to avoid heat interference. What I learned wasn’t just the “wow” factor of space images, but the process behind them: how scientists interpret light spectra to figure out what distant planets are made of, and how even tiny measurement errors can change a conclusion.

I found it interesting because it balanced wonder with realism. It showed that scientific breakthroughs aren’t magic—they’re the result of patient experimentation, failure, and iteration. And honestly, it made me appreciate how science is a collaboration between imagination and discipline: you need bold questions, but you also need the engineering to make those questions testable."
2,Describe a hobby you did as a child,Describe a hobby you did as a child,"You should say:
- what it is
- when you experienced/used/saw it
- what happened or how you used it
- and explain why it is memorable or important to you.",question_bank,"A science programme I found genuinely interesting was a documentary episode about **the James Webb Space Telescope** and how it studies the early universe. I watched it a few months ago on a streaming platform after seeing short clips online, and it pulled me in because it connected big ideas to real engineering challenges.

The programme explained, in a very clear way, why Webb can see things older telescopes couldn’t—mainly because it observes in infrared, and it’s positioned far from Earth to avoid heat interference. What I learned wasn’t just the “wow” factor of space images, but the process behind them: how scientists interpret light spectra to figure out what distant planets are made of, and how even tiny measurement errors can change a conclusion.

I found it interesting because it balanced wonder with realism. It showed that scientific breakthroughs aren’t magic—they’re the result of patient experimentation, failure, and iteration. And honestly, it made me appreciate how science is a collaboration between imagination and discipline: you need bold questions, but you also need the engineering to make those questions testable."
2,Describe a game you enjoyed,Describe a game you enjoyed,"You should say:
- what it is
- when you experienced/used/saw it
- what happened or how you used it
- and explain why it is memorable or important to you.",question_bank,"A science programme I found genuinely interesting was a documentary episode about **the James Webb Space Telescope** and how it studies the early universe. I watched it a few months ago on a streaming platform after seeing short clips online, and it pulled me in because it connected big ideas to real engineering challenges.

The programme explained, in a very clear way, why Webb can see things older telescopes couldn’t—mainly because it observes in infrared, and it’s positioned far from Earth to avoid heat interference. What I learned wasn’t just the “wow” factor of space images, but the process behind them: how scientists interpret light spectra to figure out what distant planets are made of, and how even tiny measurement errors can change a conclusion.

I found it interesting because it balanced wonder with realism. It showed that scientific breakthroughs aren’t magic—they’re the result of patient experimentation, failure, and iteration. And honestly, it made me appreciate how science is a collaboration between imagination and discipline: you need bold questions, but you also need the engineering to make those questions testable."
2,Describe a time you gave a presentation,Describe a time you gave a presentation,"You should say:
- what it is
- when you experienced/used/saw it
- what happened or how you used it
- and explain why it is memorable or important to you.",question_bank,"A science programme I found genuinely interesting was a documentary episode about **the James Webb Space Telescope** and how it studies the early universe. I watched it a few months ago on a streaming platform after seeing short clips online, and it pulled me in because it connected big ideas to real engineering challenges.

The programme explained, in a very clear way, why Webb can see things older telescopes couldn’t—mainly because it observes in infrared, and it’s positioned far from Earth to avoid heat interference. What I learned wasn’t just the “wow” factor of space images, but the process behind them: how scientists interpret light spectra to figure out what distant planets are made of, and how even tiny measurement errors can change a conclusion.

I found it interesting because it balanced wonder with realism. It showed that scientific breakthroughs aren’t magic—they’re the result of patient experimentation, failure, and iteration. And honestly, it made me appreciate how science is a collaboration between imagination and discipline: you need bold questions, but you also need the engineering to make those questions testable."
2,Describe a science topic you found interesting,Describe a science topic you found interesting,"You should say:
- what it is
- when you experienced/used/saw it
- what happened or how you used it
- and explain why it is memorable or important to you.",question_bank,"A science programme I found genuinely interesting was a documentary episode about **the James Webb Space Telescope** and how it studies the early universe. I watched it a few months ago on a streaming platform after seeing short clips online, and it pulled me in because it connected big ideas to real engineering challenges.

The programme explained, in a very clear way, why Webb can see things older telescopes couldn’t—mainly because it observes in infrared, and it’s positioned far from Earth to avoid heat interference. What I learned wasn’t just the “wow” factor of space images, but the process behind them: how scientists interpret light spectra to figure out what distant planets are made of, and how even tiny measurement errors can change a conclusion.

I found it interesting because it balanced wonder with realism. It showed that scientific breakthroughs aren’t magic—they’re the result of patient experimentation, failure, and iteration. And honestly, it made me appreciate how science is a collaboration between imagination and discipline: you need bold questions, but you also need the engineering to make those questions testable."
2,Describe a place with beautiful scenery,Describe a place with beautiful scenery,"You should say:
- what it is
- when you experienced/used/saw it
- what happened or how you used it
- and explain why it is memorable or important to you.",question_bank,"A science programme I found genuinely interesting was a documentary episode about **the James Webb Space Telescope** and how it studies the early universe. I watched it a few months ago on a streaming platform after seeing short clips online, and it pulled me in because it connected big ideas to real engineering challenges.

The programme explained, in a very clear way, why Webb can see things older telescopes couldn’t—mainly because it observes in infrared, and it’s positioned far from Earth to avoid heat interference. What I learned wasn’t just the “wow” factor of space images, but the process behind them: how scientists interpret light spectra to figure out what distant planets are made of, and how even tiny measurement errors can change a conclusion.

I found it interesting because it balanced wonder with realism. It showed that scientific breakthroughs aren’t magic—they’re the result of patient experimentation, failure, and iteration. And honestly, it made me appreciate how science is a collaboration between imagination and discipline: you need bold questions, but you also need the engineering to make those questions testable."
2,Describe a time you were very busy,Describe a time you were very busy,"You should say:
- what it is
- when you experienced/used/saw it
- what happened or how you used it
- and explain why it is memorable or important to you.",question_bank,"A science programme I found genuinely interesting was a documentary episode about **the James Webb Space Telescope** and how it studies the early universe. I watched it a few months ago on a streaming platform after seeing short clips online, and it pulled me in because it connected big ideas to real engineering challenges.

The programme explained, in a very clear way, why Webb can see things older telescopes couldn’t—mainly because it observes in infrared, and it’s positioned far from Earth to avoid heat interference. What I learned wasn’t just the “wow” factor of space images, but the process behind them: how scientists interpret light spectra to figure out what distant planets are made of, and how even tiny measurement errors can change a conclusion.

I found it interesting because it balanced wonder with realism. It showed that scientific breakthroughs aren’t magic—they’re the result of patient experimentation, failure, and iteration. And honestly, it made me appreciate how science is a collaboration between imagination and discipline: you need bold questions, but you also need the engineering to make those questions testable."
2,Describe a piece of technology that changed your life,Describe a piece of technology that changed your life,"You should say:
- what it is
- when you experienced/used/saw it
- what happened or how you used it
- and explain why it is memorable or important to you.",question_bank,"A science programme I found genuinely interesting was a documentary episode about **the James Webb Space Telescope** and how it studies the early universe. I watched it a few months ago on a streaming platform after seeing short clips online, and it pulled me in because it connected big ideas to real engineering challenges.

The programme explained, in a very clear way, why Webb can see things older telescopes couldn’t—mainly because it observes in infrared, and it’s positioned far from Earth to avoid heat interference. What I learned wasn’t just the “wow” factor of space images, but the process behind them: how scientists interpret light spectra to figure out what distant planets are made of, and how even tiny measurement errors can change a conclusion.

I found it interesting because it balanced wonder with realism. It showed that scientific breakthroughs aren’t magic—they’re the result of patient experimentation, failure, and iteration. And honestly, it made me appreciate how science is a collaboration between imagination and discipline: you need bold questions, but you also need the engineering to make those questions testable."
2,Describe a photograph you like,Describe a photograph you like,"You should say:
- what it is
- when you experienced/used/saw it
- what happened or how you used it
- and explain why it is memorable or important to you.",question_bank,"A science programme I found genuinely interesting was a documentary episode about **the James Webb Space Telescope** and how it studies the early universe. I watched it a few months ago on a streaming platform after seeing short clips online, and it pulled me in because it connected big ideas to real engineering challenges.

The programme explained, in a very clear way, why Webb can see things older telescopes couldn’t—mainly because it observes in infrared, and it’s positioned far from Earth to avoid heat interference. What I learned wasn’t just the “wow” factor of space images, but the process behind them: how scientists interpret light spectra to figure out what distant planets are made of, and how even tiny measurement errors can change a conclusion.

I found it interesting because it balanced wonder with realism. It showed that scientific breakthroughs aren’t magic—they’re the result of patient experimentation, failure, and iteration. And honestly, it made me appreciate how science is a collaboration between imagination and discipline: you need bold questions, but you also need the engineering to make those questions testable."
2,Describe a piece of advice you still remember,Describe a piece of advice you still remember,"You should say:
- what it is
- when you experienced/used/saw it
- what happened or how you used it
- and explain why it is memorable or important to you.",question_bank,"A science programme I found genuinely interesting was a documentary episode about **the James Webb Space Telescope** and how it studies the early universe. I watched it a few months ago on a streaming platform after seeing short clips online, and it pulled me in because it connected big ideas to real engineering challenges.

The programme explained, in a very clear way, why Webb can see things older telescopes couldn’t—mainly because it observes in infrared, and it’s positioned far from Earth to avoid heat interference. What I learned wasn’t just the “wow” factor of space images, but the process behind them: how scientists interpret light spectra to figure out what distant planets are made of, and how even tiny measurement errors can change a conclusion.

I found it interesting because it balanced wonder with realism. It showed that scientific breakthroughs aren’t magic—they’re the result of patient experimentation, failure, and iteration. And honestly, it made me appreciate how science is a collaboration between imagination and discipline: you need bold questions, but you also need the engineering to make those questions testable."
2,Describe a time you worked under pressure,Describe a time you worked under pressure,"You should say:
- what it is
- when you experienced/used/saw it
- what happened or how you used it
- and explain why it is memorable or important to you.",question_bank,"A science programme I found genuinely interesting was a documentary episode about **the James Webb Space Telescope** and how it studies the early universe. I watched it a few months ago on a streaming platform after seeing short clips online, and it pulled me in because it connected big ideas to real engineering challenges.

The programme explained, in a very clear way, why Webb can see things older telescopes couldn’t—mainly because it observes in infrared, and it’s positioned far from Earth to avoid heat interference. What I learned wasn’t just the “wow” factor of space images, but the process behind them: how scientists interpret light spectra to figure out what distant planets are made of, and how even tiny measurement errors can change a conclusion.

I found it interesting because it balanced wonder with realism. It showed that scientific breakthroughs aren’t magic—they’re the result of patient experimentation, failure, and iteration. And honestly, it made me appreciate how science is a collaboration between imagination and discipline: you need bold questions, but you also need the engineering to make those questions testable."
2,Describe a time you received a compliment,Describe a time you received a compliment,"You should say:
- what it is
- when you experienced/used/saw it
- what happened or how you used it
- and explain why it is memorable or important to you.",question_bank,"A science programme I found genuinely interesting was a documentary episode about **the James Webb Space Telescope** and how it studies the early universe. I watched it a few months ago on a streaming platform after seeing short clips online, and it pulled me in because it connected big ideas to real engineering challenges.

The programme explained, in a very clear way, why Webb can see things older telescopes couldn’t—mainly because it observes in infrared, and it’s positioned far from Earth to avoid heat interference. What I learned wasn’t just the “wow” factor of space images, but the process behind them: how scientists interpret light spectra to figure out what distant planets are made of, and how even tiny measurement errors can change a conclusion.

I found it interesting because it balanced wonder with realism. It showed that scientific breakthroughs aren’t magic—they’re the result of patient experimentation, failure, and iteration. And honestly, it made me appreciate how science is a collaboration between imagination and discipline: you need bold questions, but you also need the engineering to make those questions testable."
3,Work and productivity,How do working patterns differ between younger and older people in your country?,,question_bank,
3,Work and productivity,What makes a job satisfying besides salary?,,question_bank,
3,Work and productivity,Do you think working from home will become more common? Why/why not?,,question_bank,
3,Work and productivity,How can companies improve employees’ work-life balance?,,question_bank,
3,Work and productivity,Should employers provide training for all staff? Why?,,question_bank,
3,Education,What skills should schools focus on besides exam results?,,question_bank,
3,Education,How has education changed in your country in the last 20 years?,,question_bank,
3,Education,Should university education be free? Why/why not?,,question_bank,
3,Education,How can teachers motivate students who are not interested?,,question_bank,
3,Education,Do you think online learning can replace classrooms?,,question_bank,
3,Technology and society,How has technology changed the way people communicate?,,question_bank,
3,Technology and society,What are the disadvantages of relying on smartphones?,,question_bank,
3,Technology and society,Do you think children should learn coding at school?,,question_bank,
3,Technology and society,How can people protect their privacy online?,,question_bank,
3,Technology and society,Will AI create more jobs or replace jobs overall?,,question_bank,
3,Media and information,How do people in your country usually get news?,,question_bank,
3,Media and information,Why do some news stories spread faster than others?,,question_bank,
3,Media and information,Should social media platforms be responsible for misinformation?,,question_bank,
3,Media and information,Do you think people trust online reviews? Why/why not?,,question_bank,"A big reason is **to warn others**—especially if they feel cheated. On the positive side, people write reviews to reward good service and to feel that their opinion has some impact, even if it’s small."
3,Media and information,How can individuals judge whether information is reliable?,,question_bank,
3,Consumer behaviour,Why do people buy things they do not really need?,,question_bank,
3,Consumer behaviour,How has online shopping changed local businesses?,,question_bank,
3,Consumer behaviour,Are customers more likely to complain nowadays? Why?,,question_bank,"Yes, because complaining is easier—one post can reach thousands. Expectations are also higher now: people compare service to the best experience they’ve ever had, not the average."
3,Consumer behaviour,How important is good customer service for a company’s success?,,question_bank,
3,Consumer behaviour,Should companies always accept returns and refunds? Why/why not?,,question_bank,
3,Environment,What environmental problems are most serious in your country?,,question_bank,
3,Environment,How can individuals reduce waste in daily life?,,question_bank,
3,Environment,Should governments punish people who pollute? Why/why not?,,question_bank,
3,Environment,Do you think renewable energy will fully replace fossil fuels?,,question_bank,
3,Environment,How can cities be designed to be greener?,,question_bank,
3,Health and lifestyle,Why do some people find it hard to maintain healthy habits?,,question_bank,
3,Health and lifestyle,Do you think mental health is taken seriously in your country?,,question_bank,
3,Health and lifestyle,How has modern life affected sleep and stress?,,question_bank,
3,Health and lifestyle,Should governments do more to promote public health?,,question_bank,
3,Health and lifestyle,Is fitness more of a trend now than in the past?,,question_bank,
3,Family and relationships,How have family roles changed compared to the past?,,question_bank,
3,Family and relationships,What do you think makes a strong friendship?,,question_bank,
3,Family and relationships,Should parents plan children’s leisure time? Why/why not?,,question_bank,
3,Family and relationships,Do you think people are marrying later these days? Why?,,question_bank,
3,Family and relationships,How does technology affect family communication?,,question_bank,
3,Culture and traditions,Why do traditions matter to societies?,,question_bank,
3,Culture and traditions,How do celebrations differ across generations?,,question_bank,
3,Culture and traditions,Should schools teach traditional culture? Why/why not?,,question_bank,
3,Culture and traditions,How does globalisation affect local culture?,,question_bank,
3,Culture and traditions,Do you think traditional festivals will change in the future?,,question_bank,
3,Cities and housing,Why do many people prefer living in cities?,,question_bank,
3,Cities and housing,What problems do large cities face most?,,question_bank,
3,Cities and housing,How can governments make housing more affordable?,,question_bank,
3,Cities and housing,Do you think tall buildings are a good solution to housing shortages?,,question_bank,
3,Cities and housing,How important are public spaces in cities?,,question_bank,
3,Transport and travel,How can public transport be improved in your country?,,question_bank,
3,Transport and travel,Why do some people prefer cars even in crowded cities?,,question_bank,
3,Transport and travel,Do you think people travel more now than in the past? Why?,,question_bank,
3,Transport and travel,How does tourism affect local communities?,,question_bank,
3,Transport and travel,Should governments limit car use in city centres?,,question_bank,
3,Science and research,How interested are most people in science in your country?,,question_bank,"I’d say curiosity is there, but it’s uneven. People engage with science when it affects daily life—health, technology, weather—but fewer people follow science as a habit unless they’re students or professionals."
3,Science and research,What scientific discovery has had the biggest impact on daily life?,,question_bank,
3,Science and research,Who should fund scientific research: governments or companies?,,question_bank,
3,Science and research,Do you agree that there are still major discoveries left to make?,,question_bank,"I strongly disagree. It’s easy to think the “big discoveries” are over, but new tools create new possibilities—AI, gene editing, and materials science could unlock breakthroughs we can’t fully predict yet."
3,Science and research,How can the public learn about scientific developments?,,question_bank,"Good science communication helps—short, accurate content in local languages, and public talks that avoid jargon. Schools can also teach “how to think” rather than “what to memorise,” so people learn to evaluate claims and spot misinformation."
3,Art and creativity,Why is creativity important in modern jobs?,,question_bank,
3,Art and creativity,Should governments fund the arts? Why/why not?,,question_bank,
3,Art and creativity,How do films and music influence young people?,,question_bank,
3,Art and creativity,Is it easier to become an artist today than in the past?,,question_bank,
3,Art and creativity,Do you think art can change society?,,question_bank,
3,Sport and leisure,Why do some people dislike exercise?,,question_bank,
3,Sport and leisure,How can cities encourage people to be more active?,,question_bank,
3,Sport and leisure,Do you think professional sports are too commercialised?,,question_bank,
3,Sport and leisure,Should schools require daily physical education?,,question_bank,
3,Sport and leisure,What are the benefits of leisure activities for older people?,,question_bank,
3,Crime and rules,Why do people break rules even when they know the consequences?,,question_bank,
3,Crime and rules,How can communities prevent crime besides policing?,,question_bank,
3,Crime and rules,Do you think punishments are too strict or too lenient today?,,question_bank,
3,Crime and rules,Should CCTV cameras be used widely in public places? Why/why not?,,question_bank,
3,Crime and rules,How can young people be encouraged to follow laws?,,question_bank,
1,Work / Study,Why did you choose that job/subject?,,master_pack,
1,Work / Study,What do you enjoy most about it?,,master_pack,
1,Work / Study,What is the most challenging part?,,master_pack,
1,Work / Study,How do you usually spend a typical day?,,master_pack,
1,Work / Study,Would you like to change your job/major in the future?,,master_pack,
1,Home / Hometown,What do you like about your hometown?,,master_pack,
1,Home / Hometown,What do you dislike about it?,,master_pack,
1,Home / Hometown,How has it changed in recent years?,,master_pack,
1,Home / Hometown,Is it a good place for young people? Why/why not?,,master_pack,
1,Home / Hometown,Would you recommend it to tourists?,,master_pack,
1,Accommodation,Do you live in a house or an apartment?,,master_pack,
1,Accommodation,What do you like about your home?,,master_pack,
1,Accommodation,Is there anything you would like to change?,,master_pack,
1,Accommodation,What kind of home would you like in the future?,,master_pack,
1,Daily routine,What is your routine like on weekdays?,,master_pack,
1,Daily routine,How is your routine different on weekends?,,master_pack,
1,Daily routine,Which part of the day do you enjoy most?,,master_pack,
1,Daily routine,Do you like planning your day?,,master_pack,
1,Daily routine,Do you usually do the same things every day?,,master_pack,
1,Daily routine,Has your routine changed over time?,,master_pack,
1,Free time,Do you have much free time?,,master_pack,
1,Free time,What do you usually do in your free time?,,master_pack,
1,Free time,Do you prefer spending it alone or with others?,,master_pack,
1,Free time,What do you do to relax after a long day?,,master_pack,
1,Free time,Do you think people today have less free time?,,master_pack,
1,Free time,What would you do if you had more free time?,,master_pack,
1,Friends,Do you prefer a few close friends or many friends?,,master_pack,
1,Friends,How do you make new friends?,,master_pack,
1,Friends,Do you think friendship changes with age?,,master_pack,
1,Friends,Are online friends the same as real-life friends?,,master_pack,
1,Family,Who are you closest to in your family?,,master_pack,
1,Family,Do you prefer spending time with family or friends?,,master_pack,
1,Family,How important is family in your culture?,,master_pack,
1,Family,Do you think family roles are changing?,,master_pack,
1,Family,What family traditions do you enjoy?,,master_pack,
1,Food,Do you prefer eating at home or eating out?,,master_pack,
1,Food,How often do you eat in restaurants?,,master_pack,
1,Food,What is a popular dish in your country?,,master_pack,
1,Food,Do you think young people eat healthier than before?,,master_pack,
1,Food,Have your eating habits changed?,,master_pack,
1,Cooking,Who cooks in your home?,,master_pack,
1,Cooking,What was the last dish you cooked?,,master_pack,
1,Cooking,Is cooking an important life skill?,,master_pack,
1,Cooking,Do you prefer simple meals or complicated recipes?,,master_pack,
1,Cooking,Do you think children should learn to cook at school?,,master_pack,
1,Shopping,Do you like shopping?,,master_pack,
1,Shopping,Do you prefer online or in-store shopping?,,master_pack,
1,Shopping,What was the last thing you bought?,,master_pack,
1,Shopping,Are people influenced by advertisements?,,master_pack,
1,Shopping,Do you think shopping habits will change in the future?,,master_pack,
1,Clothes & Fashion,Do you care about fashion?,,master_pack,
1,Clothes & Fashion,Do you prefer comfort or style?,,master_pack,
1,Clothes & Fashion,Do people in your country follow fashion trends?,,master_pack,
1,Clothes & Fashion,Do you like wearing traditional clothes?,,master_pack,
1,Clothes & Fashion,How has fashion changed compared to the past?,,master_pack,
1,Weather & Seasons,What kind of weather do you enjoy most?,,master_pack,
1,Weather & Seasons,Do you prefer hot or cold weather?,,master_pack,
1,Weather & Seasons,Does weather affect your mood?,,master_pack,
1,Weather & Seasons,What is your favourite season?,,master_pack,
1,Weather & Seasons,How do people deal with extreme weather in your country?,,master_pack,
1,Transport,How do you usually get around your city?,,master_pack,
1,Transport,Do you prefer public transport or private cars?,,master_pack,
1,Transport,What transport problems does your city have?,,master_pack,
1,Transport,How could transport be improved?,,master_pack,
1,Transport,Do you think electric vehicles will become common?,,master_pack,
1,Travel,Do you prefer travelling alone or with others?,,master_pack,
1,Travel,What kind of places do you like to visit?,,master_pack,
1,Travel,Do you like planning trips in detail?,,master_pack,
1,Travel,What is the best trip you have taken?,,master_pack,
1,Travel,Where would you like to go in the future?,,master_pack,
1,Technology,Do you use technology a lot in daily life?,,master_pack,
1,Technology,What app do you use most often?,,master_pack,
1,Technology,Do you prefer texting or calling?,,master_pack,
1,Technology,What technology did you use as a child?,,master_pack,
1,Technology,Do you think people rely too much on phones?,,master_pack,
1,Technology,What new technology would you like to try?,,master_pack,
1,Internet & Social media,How often do you use social media?,,master_pack,
1,Internet & Social media,What do you use it for most?,,master_pack,
1,Internet & Social media,What are the benefits of social media?,,master_pack,
1,Internet & Social media,What are the downsides?,,master_pack,
1,Internet & Social media,Would you ever take a break from social media?,,master_pack,
1,Books & Reading,Do you prefer e-books or paper books?,,master_pack,
1,Books & Reading,Did you read much as a child?,,master_pack,
1,Books & Reading,Do people in your country read a lot?,,master_pack,
1,Books & Reading,What is a book you would recommend?,,master_pack,
1,Music,Do you prefer live music or recordings?,,master_pack,
1,Music,Have your musical tastes changed?,,master_pack,
1,Music,Is music important in your culture?,,master_pack,
1,Music,Do you play any musical instruments?,,master_pack,
1,Films & TV,Do you prefer cinemas or watching at home?,,master_pack,
1,Films & TV,What was the last film you watched?,,master_pack,
1,Films & TV,Do you like documentaries?,,master_pack,
1,Films & TV,Do you watch series regularly?,,master_pack,
1,Films & TV,Has streaming changed entertainment habits?,,master_pack,
1,Sports & Exercise,What sports are popular in your country?,,master_pack,
1,Sports & Exercise,Do you prefer exercising alone or with others?,,master_pack,
1,Sports & Exercise,Do schools encourage sports enough?,,master_pack,
1,Sports & Exercise,Do you think e-sports are real sports?,,master_pack,
1,Health,How important is sleep to you?,,master_pack,
1,Health,Do you think people are healthier than in the past?,,master_pack,
1,Health,How do you handle stress?,,master_pack,
1,Health,Do you eat breakfast?,,master_pack,
1,Health,What health habit would you like to improve?,,master_pack,
1,Nature & Environment,Do you like spending time outdoors?,,master_pack,
1,Nature & Environment,Are there parks near where you live?,,master_pack,
1,Nature & Environment,What environmental problems exist in your area?,,master_pack,
1,Nature & Environment,Do you recycle?,,master_pack,
1,Nature & Environment,What can individuals do to protect the environment?,,master_pack,
1,Nature & Environment,Do you think climate education is important?,,master_pack,
1,Animals,Did you have a pet as a child?,,master_pack,
1,Animals,Are pets common in your country?,,master_pack,
1,Animals,What are the benefits of having a pet?,,master_pack,
1,Animals,Should some animals be kept in zoos?,,master_pack,
1,Animals,Do you think people treat animals better now?,,master_pack,
1,Photography,Do you prefer using a phone or a camera?,,master_pack,
1,Photography,Do you share your photos online?,,master_pack,
1,Photography,Do you like being photographed?,,master_pack,
1,Photography,How do photos help people remember events?,,master_pack,
1,Public places,What public places do you often visit?,,master_pack,
1,Public places,Do you like cafés?,,master_pack,
1,Public places,Do you prefer quiet places or lively places?,,master_pack,
1,Public places,Do you visit libraries?,,master_pack,
1,Public places,Are museums popular in your country?,,master_pack,
1,Learning English,What is the hardest part for you?,,master_pack,
1,Learning English,How do you practise speaking?,,master_pack,
1,Learning English,Do you enjoy learning languages?,,master_pack,
1,Learning English,What advice would you give to beginners?,,master_pack,
1,Learning English,How will English help you in the future?,,master_pack,
2,Describe a teacher you remember well,Describe a teacher you remember well,"You should say:
- who they were
- what they taught you
- what made them special
- and explain why you still remember them.",master_pack,"A science programme I found genuinely interesting was a documentary episode about **the James Webb Space Telescope** and how it studies the early universe. I watched it a few months ago on a streaming platform after seeing short clips online, and it pulled me in because it connected big ideas to real engineering challenges.

The programme explained, in a very clear way, why Webb can see things older telescopes couldn’t—mainly because it observes in infrared, and it’s positioned far from Earth to avoid heat interference. What I learned wasn’t just the “wow” factor of space images, but the process behind them: how scientists interpret light spectra to figure out what distant planets are made of, and how even tiny measurement errors can change a conclusion.

I found it interesting because it balanced wonder with realism. It showed that scientific breakthroughs aren’t magic—they’re the result of patient experimentation, failure, and iteration. And honestly, it made me appreciate how science is a collaboration between imagination and discipline: you need bold questions, but you also need the engineering to make those questions testable."
